Designator,Mid X,Mid Y,Layer,Rotation
D1,46.0650mm,-45.5250mm,Bottom,90
D2,65.1150mm,-45.5250mm,Bottom,90
D3,84.1650mm,-45.5250mm,Bottom,90
D4,103.2150mm,-45.5250mm,Bottom,90
D5,46.0650mm,-64.5750mm,Bottom,90
D6,65.1150mm,-64.5750mm,Bottom,90
D7,84.1650mm,-64.5750mm,Bottom,90
D8,103.2150mm,-64.5750mm,Bottom,90
D9,46.0650mm,-83.6250mm,Bottom,90
D10,65.1150mm,-83.6250mm,Bottom,90
D11,84.1650mm,-83.6250mm,Bottom,90
D12,103.2150mm,-83.6250mm,Bottom,90
D13,46.0650mm,-102.6750mm,Bottom,90
D14,65.1150mm,-102.6750mm,Bottom,90
D15,84.1650mm,-102.6750mm,Bottom,90
D16,103.2150mm,-102.6750mm,Bottom,90
